iter	Passed	Remaining
0	0	34
1	0	32
2	0	30
3	1	28
4	1	27
5	1	27
6	2	26
7	2	26
8	2	26
9	2	26
10	3	26
11	3	26
12	4	27
13	4	28
14	4	28
15	5	27
16	5	26
17	5	26
18	6	25
19	6	25
20	6	25
21	6	24
22	7	24
23	7	24
24	7	23
25	8	23
26	8	22
27	8	22
28	9	22
29	9	21
30	9	21
31	9	20
32	10	20
33	10	20
34	10	19
35	11	19
36	11	19
37	12	19
38	12	19
39	13	19
40	13	19
41	13	18
42	13	18
43	14	18
44	14	17
45	14	17
46	15	17
47	15	16
48	15	16
49	15	15
50	16	15
51	16	15
52	16	14
53	17	14
54	17	14
55	17	13
56	17	13
57	18	13
58	18	12
59	18	12
60	19	12
61	19	11
62	19	11
63	20	11
64	20	11
65	21	10
66	21	10
67	21	10
68	22	10
69	22	9
70	23	9
71	23	9
72	23	8
73	24	8
74	24	8
75	24	7
76	25	7
77	25	7
78	25	6
79	26	6
80	26	6
81	26	5
82	26	5
83	27	5
84	27	4
85	27	4
86	28	4
87	28	3
88	28	3
89	29	3
90	29	2
91	29	2
92	29	2
93	30	1
94	30	1
95	30	1
96	31	0
97	31	0
98	31	0
99	32	0
