iter	Passed	Remaining
0	64	64296
1	64	32309
2	65	21679
3	65	16370
4	66	13168
5	66	11033
6	66	9495
7	67	8344
8	67	7458
9	68	6743
10	68	6164
11	69	5689
12	69	5283
13	70	4937
14	70	4635
15	71	4370
16	71	4138
17	72	3930
18	72	3740
19	72	3564
20	73	3405
21	73	3261
22	73	3129
23	74	3009
24	74	2900
25	74	2798
26	75	2704
27	75	2621
28	75	2539
29	76	2465
30	76	2393
31	76	2327
32	77	2263
33	77	2204
34	77	2149
35	78	2097
36	78	2047
37	78	1999
38	79	1955
39	79	1913
40	80	1872
41	80	1833
42	80	1796
43	81	1761
44	81	1727
45	81	1694
46	82	1663
47	82	1633
48	82	1605
49	83	1579
50	83	1554
51	83	1530
52	84	1505
53	84	1482
54	84	1459
55	85	1437
56	85	1416
57	85	1395
58	86	1375
59	86	1359
60	87	1344
61	87	1328
62	88	1313
63	88	1296
64	88	1279
65	89	1264
66	89	1249
67	90	1235
68	90	1221
69	90	1208
70	91	1194
71	91	1180
72	91	1167
73	92	1154
74	92	1142
75	93	1131
76	93	1120
77	93	1110
78	94	1101
79	94	1090
80	95	1080
81	95	1070
82	95	1057
83	96	1047
84	96	1039
85	97	1030
86	97	1021
87	97	1011
88	97	1002
89	98	993
90	98	984
91	98	976
92	99	968
93	99	960
94	100	953
95	100	946
96	100	939
97	101	932
98	101	925
99	102	918
100	102	911
101	102	903
102	102	896
103	103	890
104	103	883
105	104	877
106	104	871
107	104	865
108	105	858
109	105	852
110	105	846
111	106	841
112	106	835
113	106	829
114	107	823
115	107	818
116	107	812
117	107	807
118	108	801
119	108	796
120	108	791
121	109	785
122	109	781
123	109	776
124	110	771
125	110	766
126	110	761
127	111	756
128	111	752
129	111	748
130	112	743
131	112	739
132	112	734
133	113	730
134	113	726
135	113	722
136	114	718
137	114	714
138	114	710
139	115	706
140	115	702
141	115	698
142	115	694
143	116	690
144	116	686
145	116	682
146	116	678
147	117	674
148	117	671
149	118	669
150	118	667
151	119	664
152	119	661
153	119	658
154	120	655
155	120	651
156	120	648
157	121	645
158	121	642
159	121	639
160	122	636
161	122	633
162	122	630
163	123	627
164	123	624
165	123	622
166	124	619
167	124	616
168	124	613
169	125	610
170	125	607
171	125	604
172	125	601
173	126	598
174	126	595
175	126	593
176	126	590
177	127	587
178	127	584
179	127	582
180	128	579
181	128	577
182	128	574
183	129	572
184	129	570
185	129	568
186	130	567
187	130	565
188	131	564
189	131	561
190	132	559
191	133	560
192	133	558
193	134	556
194	134	555
195	135	553
196	135	552
197	135	550
198	136	548
199	136	545
200	136	543
201	137	541
202	137	539
203	137	537
204	137	535
205	138	532
206	138	530
207	139	532
208	140	530
209	140	529
210	141	527
211	141	525
212	141	523
213	142	521
214	142	520
215	142	518
216	143	517
217	143	515
218	144	514
219	144	513
220	145	511
221	145	509
222	145	507
223	146	505
224	146	504
225	146	502
226	146	500
227	147	498
228	147	497
229	148	496
230	148	494
231	149	493
232	149	491
233	149	489
234	149	487
235	150	486
236	150	484
237	150	482
238	151	481
239	151	479
240	151	477
241	151	476
242	152	474
243	152	472
244	152	471
245	153	469
246	153	467
247	153	466
248	154	464
249	154	463
250	154	462
251	155	461
252	155	459
253	155	458
254	156	456
255	156	454
256	156	453
257	157	451
258	157	450
259	157	449
260	158	447
261	158	446
262	158	444
263	158	443
264	159	441
265	159	440
266	159	438
267	160	437
268	160	436
269	160	434
270	161	433
271	161	431
272	161	430
273	162	429
274	162	427
275	162	426
276	162	425
277	163	423
278	163	422
279	163	421
280	164	420
281	164	418
282	164	417
283	165	416
284	165	414
285	165	413
286	166	412
287	166	411
288	166	410
289	167	408
290	167	407
291	167	406
292	167	405
293	168	403
294	168	402
295	168	401
296	169	400
297	169	399
298	169	398
299	170	397
300	170	396
301	171	395
302	171	394
303	172	393
304	172	392
305	172	391
306	173	390
307	173	389
308	173	388
309	174	387
310	174	386
311	174	385
312	175	385
313	175	384
314	176	383
315	176	382
316	176	380
317	177	379
318	177	379
319	178	378
320	178	377
321	178	376
322	179	375
323	179	374
324	179	373
325	180	372
326	180	371
327	181	371
328	181	370
329	181	369
330	182	368
331	182	367
332	183	366
333	183	365
334	183	364
335	184	363
336	184	363
337	185	362
338	185	361
339	185	360
340	185	359
341	186	358
342	186	357
343	186	356
344	187	355
345	187	354
346	188	354
347	188	353
348	188	352
349	189	351
350	189	350
351	189	349
352	190	348
353	190	347
354	190	346
355	191	345
356	191	344
357	191	343
358	192	343
359	192	342
360	192	341
361	193	340
362	193	339
363	193	338
364	194	337
365	194	336
366	194	335
367	195	334
368	195	333
369	195	333
370	195	332
371	196	331
372	196	330
373	196	329
374	197	328
375	197	327
376	197	326
377	197	325
378	198	324
379	198	323
380	198	322
381	199	322
382	199	321
383	199	320
384	199	319
385	200	318
386	200	317
387	200	316
388	201	315
389	201	315
390	201	314
391	201	313
392	202	312
393	202	311
394	202	310
395	203	310
396	203	309
397	204	309
398	204	308
399	205	307
400	205	307
401	205	306
402	206	305
403	206	304
404	206	303
405	207	302
406	207	302
407	207	301
408	207	300
409	208	299
410	208	298
411	208	298
412	209	297
413	209	296
414	209	295
415	210	294
416	210	294
417	210	293
418	211	292
419	211	291
420	211	291
421	211	290
422	212	289
423	212	288
424	212	288
425	213	287
426	213	286
427	213	285
428	214	285
429	214	284
430	214	283
431	215	282
432	215	282
433	215	281
434	216	280
435	216	280
436	217	279
437	217	278
438	217	278
439	218	277
440	218	276
441	218	276
442	219	275
443	219	274
444	219	274
445	220	273
446	220	273
447	221	272
448	221	271
449	221	271
450	222	270
451	222	269
452	222	269
453	223	268
454	223	267
455	223	266
456	224	266
457	224	265
458	225	265
459	225	264
460	225	263
461	226	263
462	226	262
463	226	261
464	227	261
465	227	260
466	227	260
467	228	259
468	228	258
469	228	258
470	229	257
471	229	256
472	229	256
473	230	255
474	230	254
475	230	253
476	231	253
477	231	252
478	231	252
479	232	251
480	232	251
481	233	250
482	233	249
483	233	249
484	233	248
485	234	247
486	234	247
487	235	246
488	235	246
489	235	245
490	236	245
491	236	244
492	236	243
493	237	243
494	237	242
495	238	241
496	238	241
497	239	240
498	239	240
499	239	239
500	240	239
501	240	238
502	240	238
503	241	237
504	241	236
505	241	236
506	242	235
507	242	234
508	242	234
509	243	233
510	243	232
511	243	232
512	243	231
513	244	230
514	244	230
515	244	229
516	245	228
517	245	228
518	245	227
519	245	227
520	246	226
521	246	225
522	247	225
523	247	224
524	247	224
525	248	223
526	248	223
527	248	222
528	249	221
529	249	221
530	249	220
531	250	219
532	250	219
533	250	218
534	250	218
535	251	217
536	251	216
537	251	216
538	252	215
539	252	214
540	252	214
541	252	213
542	253	213
543	253	212
544	253	211
545	254	211
546	254	210
547	254	210
548	254	209
549	255	208
550	255	208
551	255	207
552	256	207
553	256	206
554	256	205
555	257	205
556	257	204
557	257	204
558	257	203
559	258	202
560	258	202
561	258	201
562	259	201
563	259	200
564	259	199
565	259	199
566	260	198
567	260	198
568	260	197
569	261	197
570	261	196
571	261	195
572	262	195
573	262	194
574	262	194
575	263	193
576	263	193
577	263	192
578	263	191
579	264	191
580	264	190
581	265	190
582	265	190
583	266	189
584	266	188
585	266	188
586	266	187
587	267	187
588	267	186
589	267	186
590	268	185
591	268	184
592	268	184
593	268	183
594	269	183
595	269	182
596	269	182
597	270	181
598	270	181
599	270	180
600	271	179
601	271	179
602	271	178
603	271	178
604	272	177
605	272	177
606	272	176
607	273	176
608	273	175
609	273	175
610	274	174
611	274	173
612	274	173
613	275	173
614	275	172
615	276	172
616	276	171
617	276	171
618	276	170
619	277	169
620	277	169
621	277	168
622	278	168
623	278	167
624	278	167
625	279	166
626	279	166
627	279	165
628	280	165
629	280	164
630	280	164
631	280	163
632	281	163
633	281	162
634	281	162
635	282	161
636	282	161
637	283	160
638	283	160
639	283	159
640	284	159
641	284	158
642	284	158
643	285	157
644	285	157
645	285	156
646	286	156
647	286	155
648	286	155
649	286	154
650	287	153
651	287	153
652	287	152
653	288	152
654	288	151
655	288	151
656	289	150
657	289	150
658	289	149
659	290	149
660	290	148
661	290	148
662	290	147
663	291	147
664	291	146
665	291	146
666	292	145
667	292	145
668	292	144
669	292	144
670	293	143
671	293	143
672	293	142
673	294	142
674	294	141
675	295	141
676	295	140
677	295	140
678	296	139
679	296	139
680	296	139
681	297	138
682	297	138
683	298	137
684	298	137
685	298	136
686	299	136
687	299	135
688	299	135
689	300	134
690	300	134
691	300	133
692	301	133
693	301	132
694	301	132
695	301	131
696	302	131
697	302	130
698	302	130
699	303	129
700	303	129
701	303	128
702	304	128
703	304	128
704	304	127
705	305	127
706	305	126
707	305	126
708	305	125
709	306	125
710	306	124
711	306	124
712	307	123
713	307	123
714	307	122
715	308	122
716	308	121
717	308	121
718	308	120
719	309	120
720	309	119
721	310	119
722	310	118
723	310	118
724	311	118
725	311	117
726	312	117
727	312	116
728	312	116
729	313	115
730	313	115
731	313	114
732	313	114
733	314	113
734	314	113
735	314	112
736	315	112
737	315	112
738	316	111
739	316	111
740	316	110
741	317	110
742	317	109
743	318	109
744	318	109
745	318	108
746	319	108
747	319	107
748	319	107
749	320	106
750	320	106
751	320	105
752	321	105
753	321	104
754	321	104
755	322	103
756	322	103
757	323	103
758	323	102
759	323	102
760	324	101
761	324	101
762	324	100
763	325	100
764	325	100
765	326	99
766	326	99
767	326	98
768	327	98
769	327	97
770	327	97
771	328	97
772	328	96
773	329	96
774	329	95
775	330	95
776	330	94
777	330	94
778	331	93
779	331	93
780	331	93
781	332	92
782	332	92
783	332	91
784	333	91
785	333	90
786	333	90
787	334	89
788	334	89
789	334	89
790	335	88
791	335	88
792	335	87
793	336	87
794	336	86
795	336	86
796	337	85
797	337	85
798	337	85
799	338	84
800	338	84
801	339	83
802	339	83
803	339	82
804	340	82
805	340	81
806	340	81
807	341	81
808	341	80
809	341	80
810	342	79
811	342	79
812	342	78
813	343	78
814	343	77
815	343	77
816	344	77
817	344	76
818	345	76
819	345	75
820	345	75
821	346	74
822	346	74
823	346	74
824	347	73
825	347	73
826	348	72
827	348	72
828	348	71
829	349	71
830	349	71
831	349	70
832	350	70
833	350	69
834	350	69
835	351	68
836	351	68
837	352	68
838	352	67
839	352	67
840	353	66
841	353	66
842	353	65
843	354	65
844	354	65
845	354	64
846	354	64
847	355	63
848	355	63
849	356	62
850	356	62
851	356	62
852	357	61
853	357	61
854	357	60
855	358	60
856	358	59
857	359	59
858	359	58
859	359	58
860	360	58
861	360	57
862	360	57
863	361	56
864	361	56
865	361	55
866	362	55
867	362	55
868	362	54
869	363	54
870	363	53
871	364	53
872	364	53
873	364	52
874	365	52
875	366	51
876	366	51
877	366	50
878	367	50
879	367	50
880	368	49
881	368	49
882	368	48
883	368	48
884	369	47
885	369	47
886	369	47
887	370	46
888	370	46
889	371	45
890	371	45
891	372	45
892	372	44
893	373	44
894	373	43
895	373	43
896	374	42
897	374	42
898	374	42
899	375	41
900	375	41
901	376	40
902	376	40
903	376	40
904	376	39
905	377	39
906	377	38
907	377	38
908	378	37
909	378	37
910	378	37
911	379	36
912	379	36
913	380	35
914	380	35
915	380	34
916	381	34
917	381	34
918	381	33
919	382	33
920	382	32
921	383	32
922	383	32
923	383	31
924	384	31
925	384	30
926	385	30
927	385	29
928	385	29
929	386	29
930	386	28
931	386	28
932	387	27
933	387	27
934	387	26
935	388	26
936	388	26
937	388	25
938	389	25
939	389	24
940	390	24
941	390	24
942	391	23
943	391	23
944	391	22
945	391	22
946	392	21
947	392	21
948	392	21
949	393	20
950	393	20
951	394	19
952	394	19
953	394	19
954	395	18
955	395	18
956	395	17
957	396	17
958	396	16
959	397	16
960	397	16
961	397	15
962	397	15
963	398	14
964	398	14
965	398	14
966	399	13
967	399	13
968	399	12
969	400	12
970	400	11
971	400	11
972	401	11
973	401	10
974	402	10
975	402	9
976	402	9
977	403	9
978	403	8
979	404	8
980	404	7
981	405	7
982	405	7
983	405	6
984	406	6
985	406	5
986	406	5
987	407	4
988	407	4
989	407	4
990	408	3
991	408	3
992	408	2
993	409	2
994	409	2
995	409	1
996	410	1
997	410	0
998	410	0
999	411	0
